release_date,numRatings,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10
2013-06-26,155,arcade,indie,casual,physics,puzzle,action,,,,
2014-05-26,3336,local_co_op,puzzle_platformer,co_op,controller,puzzle,indie,platformer,online_co_op,cute,great_soundtrack
2016-03-18,8777,arcade,platformer,indie,puzzle,space,X2d,singleplayer,casual,difficult,sci_fi
2013-03-14,40,local_co_op,X4_player_local,X2d_fighter,indie,strategy,local_multiplayer,action,competitive,,
2013-04-16,29615,dinosaurs,mechs,online_co_op,co_op,indie,sci_fi,singleplayer,third_person_shooter,pvp,epic
2013-04-03,216,local_co_op,indie,platformer,female_protagonist,co_op,comedy,action,,,
2013-09-12,117558,trackir,simulation,military,realistic,war,strategy,co_op,moddable,online_co_op,third_person_shooter
2013-11-08,19879,isometric,indie,simulation,crafting,post_apocalyptic,rpg,co_op,building,survival_horror,early_access
2013-04-24,7986,local_co_op,controller,co_op,stealth,indie,heist,strategy,online_co_op,top_down,casual
2016-11-01,4097,metroidvania,puzzle_platformer,action_adventure,pixel_graphics,great_soundtrack,indie,X2d,platformer,story_rich,atmospheric
2014-06-06,333,arcade,racing,indie,local_multiplayer,multiplayer,,,,,
2015-12-11,204,chess,board_game,strategy,casual,,,,,,
2013-07-11,801,metroidvania,controller,puzzle_platformer,indie,puzzle,casual,platformer,cute,singleplayer,X2d
2014-05-19,29738,alternate_history,dystopian_,old_school,gore,singleplayer,atmospheric,world_war_ii,story_rich,sci_fi,stealth
2013-02-14,375,villain_protagonist,strategy,fantasy,,,,,,,
2013-03-04,97612,lara_croft,quick_time_events,action_adventure,X3d_vision,female_protagonist,singleplayer,third_person_shooter,story_rich,exploration,atmospheric
2013-02-22,3324,surreal,hand_drawn,puzzle,controller,puzzle_platformer,indie,beautiful,logic,abstract,touch_friendly
2014-03-06,2081,strategy,tower_defense,indie,singleplayer,rts,top_down,sci_fi,aliens,X2d,action
2014-11-11,2248,X1980s,satire,parody_,retro,indie,pixel_graphics,comedy,funny,X2d,racing
2014-12-02,1045,hidden_object,minimalist,hand_drawn,indie,casual,point_._click,puzzle,female_protagonist,cute,great_soundtrack
2013-07-11,109,shoot_em_up,indie,music,rhythm,bullet_hell,action,shooter,,,
2014-06-05,133,indie,casual,rhythm,great_soundtrack,pixel_graphics,action,,,,
2014-04-10,846,strategy,fantasy,turn_based,turn_based_strategy,X4x,magic,hex_grid,rpg,singleplayer,multiplayer
2013-06-03,10655,noir,gamemaker,stealth,puzzle,indie,X2d,comedy,pixel_graphics,singleplayer,strategy
2013-08-22,59036,superhero,parody_,dark_humor,comedy,co_op,third_person_shooter,character_customization,funny,online_co_op,aliens
2013-03-20,136,indie,platformer,singleplayer,action,adventure,,,,,
2016-04-19,22309,X4_player_local,local_co_op,controller,arcade,superhero,racing,local_multiplayer,platformer,fast_paced,indie
2013-04-16,932,beat_em_up,local_co_op,side_scroller,arcade,controller,co_op,platformer,online_co_op,fighting,local_multiplayer
2013-01-31,1661,strategy,simulation,management,turn_based_tactics,turn_based_strategy,turn_based,turn_based_combat,rpg,singleplayer,historical
2015-06-23,46102,superhero,detective,comic_book,beat_em_up,batman,stealth,singleplayer,fighting,atmospheric,story_rich
2015-02-03,2479,mythology,metroidvania,side_scroller,stylized,platformer,indie,X2d,rpg,historical,singleplayer
2014-02-19,623,score_attack,bullet_hell,indie,robots,funny,sci_fi,great_soundtrack,comedy,level_editor,nudity
2014-03-25,25649,dog,america,linear,military,singleplayer,war,co_op,fps,online_co_op,action
2013-05-01,635,arcade,racing,indie,casual,top_down,,,,,
2013-01-23,1550,mechs,vr,space,kickstarter,sci_fi,indie,simulation,flight,great_soundtrack,singleplayer
2013-06-20,301,lovecraftian,puzzle,cyberpunk,sci_fi,horror,singleplayer,adventure,action,first_person,fps
2014-11-03,21768,linear,america,quick_time_events,dog,futuristic,sci_fi,singleplayer,war,short,illuminati
2013-02-19,53,casual,strategy,indie,turn_based,,,,,,
2013-05-15,12902,tower_defense,co_op,strategy,indie,sci_fi,online_co_op,singleplayer,futuristic,female_protagonist,great_soundtrack
2013-08-02,191,local_co_op,X4_player_local,kickstarter,indie,platformer,difficult,local_multiplayer,X2d,rogue_like,
2016-01-26,7854,nonlinear,puzzle,surreal,exploration,philisophical,singleplayer,colorful,indie,atmospheric,walking_simulator
2013-01-08,292,top_down_shooter,indie,co_op,horror,top_down,action,zombies,shooter,,
2016-07-22,81978,crafting,indie,space,pixel_graphics,building,X2d,rpg,exploration,platformer,sci_fi
2014-03-06,36807,dark_humor,satire,rpg,comedy,funny,turn_based,singleplayer,mature,X2d,nudity
2013-06-26,4388,card_game,trading_card_game,strategy,board_game,turn_based,fantasy,singleplayer,magic,co_op,turn_based_strategy
2014-10-06,26492,horror,survival_horror,vr,sci_fi,aliens,atmospheric,stealth,space,female_protagonist,singleplayer
2014-03-11,593,touch_friendly,indie,casual,puzzle,strategy,simulation,platformer,singleplayer,family_friendly,X2d
2013-10-17,3483,arcade,space,rpg,strategy,classic,simulation,sci_fi,turn_based,atmospheric,comedy
2013-08-08,5219,metroidvania,beat_em_up,local_co_op,platformer,controller,side_scroller,indie,X2d,comedy,memes
2013-09-02,45287,rome,real_time_tactics,strategy,turn_based_tactics,turn_based_strategy,historical,grand_strategy,war,turn_based,rts
2013-05-22,6057,gothic,isometric,vampire,based_on_a_novel,rpg,hack_and_slash,action_rpg,indie,fantasy,co_op
2016-10-31,323,indie,rpg,gore,violent,third_person_shooter,horror,funny,early_access,action,adventure
2013-10-24,727,rpg,controller,fantasy,dark_fantasy,singleplayer,action,adventure,third_person,,
2013-04-30,1020,surreal,beat_em_up,indie,fighting,co_op,singleplayer,atmospheric,action,online_co_op,first_person
2013-01-10,321,touch_friendly,tower_defense,strategy,casual,X2d,indie,singleplayer,action,,
2013-03-14,356,card_game,tower_defense,casual,strategy,dinosaurs,indie,cute,family_friendly,cartoony,
2014-06-25,496,sports,simulation,indie,multiplayer,,,,,,
2015-12-16,71,twin_stick_shooter,top_down_shooter,arena_shooter,score_attack,arcade,shoot_em_up,casual,indie,early_access,fast_paced
2013-07-31,2109,old_school,remake,arena_shooter,fast_paced,gore,classic,funny,great_soundtrack,singleplayer,female_protagonist
2013-03-19,3748,local_co_op,strategy,X1990s,classic,turn_based,turn_based_strategy,X2d,funny,comedy,local_multiplayer
2013-04-12,1367,horror,indie,atmospheric,puzzle,psychological_horror,singleplayer,story_rich,adventure,great_soundtrack,first_person
2013-09-24,2379,sci_fi,singleplayer,aliens,difficult,action,fps,multiplayer,shooter,,
2013-02-26,2836,runner,score_attack,arcade,platformer,indie,side_scroller,rhythm,X2.5d,controller,music
2013-08-13,365180,co_op,heist,online_co_op,stealth,great_soundtrack,gun_customization,pve,strategy,singleplayer,simulation
2013-02-15,7249,puzzle,casual,family_friendly,singleplayer,X2d,funny,comedy,strategy,education,cute
2013-01-07,98,hidden_object,casual,point_._click,female_protagonist,puzzle,adventure,,,,
2014-03-25,2148,side_scroller,local_co_op,split_screen,shoot_em_up,arcade,kickstarter,indie,X2d,co_op,pixel_graphics
2013-03-18,605,arcade,twin_stick_shooter,local_co_op,shoot_em_up,indie,retro,pixel_graphics,sci_fi,singleplayer,robots
2013-01-09,330,arcade,local_co_op,top_down_shooter,indie,retro,top_down,sci_fi,robots,pixel_graphics,X2d
2013-01-30,2506,experimental,beautiful,surreal,exploration,relaxing,walking_simulator,indie,casual,procedural_generation,atmospheric
2013-01-31,12844,surreal,abstract,nonlinear,minimalist,puzzle,psychedelic,psychological,indie,metroidvania,exploration
2016-02-25,29410,isometric,kickstarter,crowdfunded,action_rpg,rpg,hack_and_slash,loot,dark_fantasy,co_op,singleplayer
2013-01-09,1031,noir,hand_drawn,surreal,point_._click,indie,comedy,episodic,great_soundtrack,retro,funny
2013-03-21,1805,minigames,racing,level_editor,difficult,platformer,local_multiplayer,masterpiece,sports,simulation,action
2015-04-27,54496,space,simulation,physics,science,space_sim,building,moddable,indie,education,singleplayer
2013-10-09,4343,simulation,nsfw,casual,relaxing,co_op,physics,moddable,singleplayer,management,realistic
2013-01-24,15776,spectacle_fighter,character_action_game,controller,stylized,beat_em_up,hack_and_slash,great_soundtrack,demons,singleplayer,gore
2013-04-26,1276,strategy,X4x,space,indie,real_time,sci_fi,rts,singleplayer,,
2013-04-30,343,touch_friendly,arcade,casual,indie,strategy,puzzle,action,,,
2013-03-21,18547,co_op_campaign,quick_time_events,local_co_op,split_screen,co_op,third_person_shooter,horror,online_co_op,singleplayer,survival_horror
2018-12-13,195604,pvp,massively_multiplayer,simulation,post_apocalyptic,early_access,survival_horror,indie,co_op,horror,atmospheric
2014-10-14,386,strategy,indie,relaxing,casual,singleplayer,great_soundtrack,,,,
2013-04-09,57268,real_time,remake,strategy,isometric,rts,medieval,classic,historical,base_building,singleplayer
2014-09-23,1933,tower_defense,kickstarter,strategy,local_co_op,sci_fi,indie,co_op,space,singleplayer,rts
2016-10-04,9017,local_co_op,music,education,simulation,rhythm,casual,great_soundtrack,singleplayer,,
2013-01-23,1968,local_co_op,dark_humor,puzzle_platformer,controller,platformer,X2.5d,puzzle,side_scroller,comedy,co_op
2013-10-17,34384,psychological,satire,dynamic_narration,surreal,comedy,narration,indie,walking_simulator,funny,exploration
2015-03-10,30,puzzle_platformer,X3d_platformer,indie,platformer,puzzle,action,,,,
2014-12-16,1043,arcade,X2d_fighter,fighting,classic,X2d,great_soundtrack,anime,action,,
2015-02-27,981,X2d_fighter,arcade,fighting,anime,classic,pixel_graphics,action,,,
2013-05-23,5937,horror,survival_horror,third_person_shooter,local_co_op,female_protagonist,co_op,online_co_op,singleplayer,atmospheric,sci_fi
2013-09-12,623,real_time_with_pause,party_based_rpg,rpg,strategy,fantasy,singleplayer,difficult,tactical,adventure,
2013-05-16,4486,god_game,strategy,indie,simulation,singleplayer,casual,X2d,puzzle,replay_value,resource_management
2013-05-29,3694,cold_war,real_time_tactics,wargame,real_time,america,alternate_history,strategy,rts,military,war
2014-01-22,101925,realistic,military,co_op,strategy,war,online_co_op,indie,simulation,pvp,singleplayer
2013-09-13,4837,X2d_fighter,arcade,fighting,controller,beat_em_up,anime,local_multiplayer,X2d,great_soundtrack,singleplayer
2016-05-19,11498,dystopian_,co_op,war,online_co_op,singleplayer,stealth,military,atmospheric,violent,crafting
2013-03-22,54,touch_friendly,indie,casual,puzzle,,,,,,
2014-10-17,649,mechs,massively_multiplayer,rpg,robots,sci_fi,indie,mmorpg,pvp,sandbox,open_world
2013-04-24,217,psychedelic,indie,racing,music,action,,,,,
2014-07-03,833,voxel,crafting,building,indie,simulation,casual,exploration,rpg,early_access,strategy
2013-02-14,1218,remake,jrpg,great_soundtrack,rpg,old_school,action_rpg,anime,classic,difficult,top_down
2014-06-16,2834,turn_based_tactics,isometric,cold_war,kickstarter,remake,turn_based_strategy,strategy,sci_fi,turn_based,aliens
2014-02-14,250,fmv,racing,comedy,casual,funny,singleplayer,action,adventure,,
2013-11-15,4443,noir,detective,puzzle_platformer,X3d_platformer,female_protagonist,indie,puzzle,platformer,atmospheric,great_soundtrack
2014-01-30,7278,local_co_op,comedy,intentionally_awkward_controls,physics,indie,funny,family_friendly,walking_simulator,singleplayer,co_op
2016-02-23,3207,isometric,city_builder,strategy,simulation,indie,building,crafting,singleplayer,fantasy,resource_management
2013-06-10,70,board_game,strategy,casual,,,,,,,
2016-10-26,774,lovecraftian,strategy,simulation,city_builder,indie,steampunk,building,early_access,management,singleplayer
2013-05-01,11569,puzzle_platformer,beautiful,platformer,indie,puzzle,exploration,pixel_graphics,X2.5d,great_soundtrack,controller
2013-02-18,1362,arcade,rogue_lite,controller,platformer,rogue_like,indie,ninja,replay_value,X2d,difficult
2013-10-01,753,strategy,turn_based,indie,military,singleplayer,war,tactical,action,shooter,multiplayer
2013-09-03,33397,controller,emotional,beautiful,local_co_op,atmospheric,story_rich,indie,X3d_vision,puzzle,short
2013-07-08,1940,old_school,remake,X1990s,dark_humor,classic,comedy,retro,ninja,gore,singleplayer
2013-02-26,13721,action_adventure,gothic,beat_em_up,comedy,great_soundtrack,music,strategy,hack_and_slash,rts,funny
2014-05-08,1138,rogue_lite,twin_stick_shooter,local_co_op,rpg,rogue_like,indie,co_op,local_multiplayer,online_co_op,top_down
2013-07-03,976,vampire,stealth,rpg,dark,singleplayer,action,third_person,,,
2013-04-02,2003,trains,simulation,strategy,management,city_builder,economy,building,singleplayer,co_op,sandbox
2015-11-30,51771,destruction,third_person_shooter,singleplayer,exploration,physics,funny,atmospheric,comedy,parkour,great_soundtrack
2015-08-03,707,local_co_op,metroidvania,indie,casual,strategy,base_building,X2d,building,platformer,local_multiplayer
2013-03-19,507,indie,strategy,casual,rogue_like,sci_fi,perma_death,singleplayer,space,exploration,adventure
2014-11-20,932,gore,horror,singleplayer,cartoony,hack_and_slash,stealth,zombies,atmospheric,adventure,survival
2014-10-16,1430,racing,arcade,sports,simulation,singleplayer,co_op,driving,realistic,multiplayer,
2013-11-07,1160,rogue_lite,rogue_like,strategy,indie,turn_based,puzzle,rpg,singleplayer,fantasy,casual
2013-08-26,2599,mechs,controller,third_person_shooter,sci_fi,singleplayer,atmospheric,horror,aliens,co_op,story_rich
2013-03-18,1074,text_based,choose_your_own_adventure,casual,indie,simulation,multiple_endings,rpg,singleplayer,choices_matter,cute
2013-03-15,86,motocross,motorbike,racing,sports,,,,,,
2013-05-14,62,detective,mystery,point_._click,female_protagonist,puzzle,singleplayer,adventure,,,
2014-03-31,5611,strategy,turn_based_strategy,fantasy,rpg,X4x,turn_based,singleplayer,co_op,hex_grid,grand_strategy
2015-05-14,7942,strategy,space,turn_based_strategy,X4x,sci_fi,turn_based,singleplayer,grand_strategy,simulation,moddable
2013-09-18,551,card_game,mechs,strategy,indie,casual,steampunk,turn_based_strategy,robots,tactical,
2014-05-15,389,rome,real_time_with_pause,strategy,indie,simulation,historical,rts,rpg,grand_strategy,singleplayer
2013-04-18,2565,X3d_platformer,emotional,surreal,indie,puzzle,psychological,platformer,singleplayer,story_rich,great_soundtrack
2013-02-28,3650,sniper,bullet_time,co_op,third_person_shooter,world_war_ii,horror,gore,online_co_op,singleplayer,zombies
2014-11-21,1436,space,simulation,indie,sci_fi,singleplayer,building,space_sim,early_access,action,sandbox
2013-05-17,404,fmv,quick_time_events,arcade,X1980s,casual,classic,retro,cartoon,difficult,short
2014-04-02,487,third_person_shooter,indie,co_op,sci_fi,female_protagonist,action,shooter,multiplayer,third_person,
2013-01-15,1760,match_3,mouse_only,touch_friendly,rogue_lite,indie,puzzle,casual,rpg,pixel_graphics,retro
2013-09-04,1480,remake,platformer,X2.5d,casual,family_friendly,great_soundtrack,colorful,singleplayer,classic,retro
2013-02-18,208,real_time_with_pause,strategy,grand_strategy,simulation,historical,sandbox,,,,
2014-04-30,1504,old_school,remake,indie,classic,early_access,co_op,comedy,gore,sci_fi,action
2013-01-31,164,X6dof,vr,indie,sci_fi,action,shooter,fps,first_person,,
2017-08-17,5072,kickstarter,voxel,crowdfunded,strategy,building,indie,singleplayer,early_access,crafting,tower_defense
2013-06-10,33,board_game,casual,strategy,,,,,,,
2013-06-10,191,board_game,strategy,casual,multiplayer,,,,,,
2013-05-22,1760,turn_based_tactics,grid_based_movement,strategy,fantasy,turn_based_strategy,X4x,turn_based,singleplayer,rpg,magic
2013-01-16,4836,isometric,party_based_rpg,real_time_with_pause,dungeons_._dragons,crpg,rpg,remake,fantasy,classic,singleplayer
2013-06-06,10895,dystopian_,beat_em_up,linear,beautiful,action_adventure,cyberpunk,female_protagonist,sci_fi,story_rich,singleplayer
2017-04-18,1253,remake,point_._click,classic,great_soundtrack,singleplayer,cult_classic,adventure,,,
2018-06-14,11320,arcade,racing,destruction,simulation,driving,physics,indie,sports,singleplayer,realistic
2013-04-08,213,indie,strategy,tower_defense,singleplayer,multiplayer,,,,,
2013-02-27,1324,time_attack,arcade,controller,split_screen,racing,level_editor,sports,singleplayer,local_multiplayer,multiplayer
2013-07-29,554,turn_based_tactics,strategy,indie,asynchronous_multiplayer,turn_based_strategy,turn_based,comedy,singleplayer,cartoony,local_multiplayer
2013-06-18,965,beat_em_up,arcade,local_co_op,dungeons_._dragons,side_scroller,X4_player_local,rpg,online_co_op,classic,fantasy
2013-03-28,497,match_3,arcade,casual,indie,strategy,puzzle,singleplayer,fantasy,rpg,female_protagonist
2016-07-29,38,simulation,indie,early_access,hacking,action,,,,,
2015-07-31,931,vr,beautiful,surreal,indie,exploration,walking_simulator,atmospheric,casual,puzzle,early_access
2013-02-06,256,experimental,indie,casual,simulation,walking_simulator,atmospheric,,,,
2015-09-23,420,western,top_down_shooter,local_co_op,arena_shooter,twin_stick_shooter,indie,pixel_graphics,bullet_hell,co_op,X2d
2013-04-10,749,arena_shooter,level_editor,moddable,fast_paced,co_op,action,fps,multiplayer,shooter,competitive
2013-06-24,79,racing,indie,casual,action,,,,,,
2013-02-28,73,strategy,indie,X4x,space,turn_based_strategy,sci_fi,,,,
2013-03-18,6152,satire,parody_,side_scroller,metroidvania,platformer,indie,comedy,short,pixel_graphics,X2d
2015-10-14,2092,isometric,crpg,alternate_history,rome,rpg,turn_based,indie,turn_based_combat,post_apocalyptic,choices_matter
2013-03-18,321,indie,puzzle,simulation,physics,platformer,singleplayer,female_protagonist,casual,adventure,
2015-04-02,4701,god_game,kickstarter,villain_protagonist,dark_comedy,strategy,rts,indie,fantasy,simulation,base_building
2016-08-25,1683,minimalist,local_co_op,puzzle_platformer,X4_player_local,arcade,platformer,difficult,great_soundtrack,X2d,level_editor
2015-08-24,6295,god_game,vr,space,simulation,physics,science,destruction,education,realistic,early_access
2013-04-05,259,sports,simulation,strategy,indie,football,soccer,,,,
2013-04-15,1780,metroidvania,remake,puzzle_platformer,side_scroller,controller,platformer,difficult,indie,exploration,puzzle
2013-02-01,22,indie,casual,platformer,,,,,,,
2013-05-28,1879,point_._click,indie,fantasy,singleplayer,atmospheric,puzzle,story_rich,great_soundtrack,family_friendly,adventure
2014-04-29,1527,horror,indie,female_protagonist,walking_simulator,rogue_like,singleplayer,survival_horror,procedural_generation,atmospheric,short
2013-04-16,448,minimalist,puzzle_platformer,indie,puzzle,exploration,atmospheric,platformer,difficult,X2d,singleplayer
2013-06-27,90,indie,simulation,puzzle,,,,,,,
2013-08-06,1050,touch_friendly,indie,music,rhythm,casual,side_scroller,great_soundtrack,puzzle,X2d,platformer
2013-02-06,1355,simulation,city_builder,strategy,singleplayer,management,economy,building,sandbox,,
2013-05-30,5941,puzzle_platformer,metroidvania,puzzle,sci_fi,atmospheric,side_scroller,indie,space,platformer,singleplayer
2013-02-22,1816,surreal,beautiful,interactive_fiction,kickstarter,atmospheric,point_._click,indie,story_rich,episodic,great_soundtrack
2013-09-04,456,abstract,minimalist,surreal,experimental,indie,exploration,puzzle,space,sci_fi,walking_simulator
2013-11-15,2046,singleplayer,puzzle,co_op,indie,horror,exploration,adventure,action,fps,multiplayer
2013-06-25,44586,real_time,strategy,real_time_with_pause,world_war_ii,rts,historical,singleplayer,military,war,co_op
2013-10-16,360,indie,casual,tower_defense,strategy,,,,,,
2013-06-18,2685,parody_,touch_friendly,rpg,turn_based,indie,pixel_graphics,fantasy,singleplayer,casual,retro
2013-03-08,4745,trackir,simulation,driving,singleplayer,realistic,indie,relaxing,moddable,exploration,atmospheric
2013-04-19,2044,strategy,turn_based_strategy,fantasy,turn_based,indie,tactical_rpg,turn_based_tactics,rpg,singleplayer,X4x
2016-11-18,69271,co_op,gore,horror,online_co_op,survival_horror,great_soundtrack,atmospheric,difficult,singleplayer,early_access
2013-08-15,15544,walking_simulator,interactive_fiction,X1990s,emotional,short,indie,exploration,atmospheric,story_rich,female_protagonist
2013-04-26,1928,mars,rpg,sci_fi,cyberpunk,singleplayer,action_rpg,story_rich,crafting,post_apocalyptic,atmospheric
2013-03-21,2821,dark_humor,isometric,villain_protagonist,X1990s,top_down_shooter,classic,indie,violent,gore,singleplayer
2014-01-28,6375,kickstarter,crowdfunded,point_._click,hand_drawn,touch_friendly,indie,comedy,story_rich,casual,female_protagonist
2014-09-22,7066,strategy,medieval,rts,city_builder,simulation,historical,classic,singleplayer,co_op,atmospheric
2013-06-20,3486,time_attack,arcade,racing,split_screen,level_editor,sports,singleplayer,local_multiplayer,e_sports,fast_paced
2013-03-28,671,simulation,building,physics,puzzle,singleplayer,,,,,
2013-05-15,438,arcade,indie,casual,flight,singleplayer,action,shooter,,,
2013-10-24,152,tower_defense,strategy,indie,,,,,,,
2013-09-26,20142,swordplay,old_school,dark_humor,remake,X3d_vision,gore,comedy,hack_and_slash,singleplayer,great_soundtrack
2014-03-18,3482,arcade,shoot_em_up,indie,bullet_hell,pixel_graphics,X2d,great_soundtrack,singleplayer,retro,fast_paced
2013-11-05,904,beat_em_up,local_co_op,side_scroller,indie,co_op,online_co_op,X2d,platformer,action,multiplayer
2013-10-02,232,simulation,flight,action,,,,,,,
2013-04-24,1523,abstract,surreal,vr,minimalist,puzzle,exploration,indie,atmospheric,singleplayer,mystery
2013-05-01,10539,X1980s,parody_,comedy,great_soundtrack,singleplayer,sci_fi,cyberpunk,stealth,retro,funny
2014-06-05,10305,detective,supernatural,noir,horror,mystery,atmospheric,singleplayer,story_rich,puzzle,rpg
2013-10-30,133,isometric,party_based_rpg,grid_based_movement,rpg,crpg,indie,strategy,turn_based,fantasy,singleplayer
2014-02-24,483,rpg,action_rpg,fantasy,jrpg,anime,singleplayer,classic,female_protagonist,adventure,action
2013-03-07,105,documentary,female_protagonist,action,,,,,,,
2015-10-06,33973,simulation,building,management,strategy,singleplayer,indie,X2d,resource_management,base_building,economy
2013-04-04,5343,X3d,parody_,rpg,indie,controller,retro,singleplayer,short,fantasy,funny
2013-04-04,1401,remake,old_school,controller,classic,X1990s,platformer,retro,singleplayer,sci_fi,X2d
2018-09-18,4268,arcade,split_screen,X4_player_local,racing,great_soundtrack,futuristic,level_editor,indie,singleplayer,atmospheric
2013-04-19,13849,intentionally_awkward_controls,dark_humor,vr,simulation,comedy,indie,difficult,funny,singleplayer,gore
2013-03-19,2466,parody_,kickstarter,indie,retro,strategy,post_apocalyptic,singleplayer,pixel_graphics,perma_death,simulation
2013-08-15,2286,local_co_op,X2.5d,strategy,turn_based,funny,comedy,X2d,singleplayer,multiplayer,action
2018-12-06,10683,alternate_history,rpg,strategy,crafting,building,city_builder,indie,post_apocalyptic,singleplayer,simulation
2014-07-25,6348,metroidvania,side_scroller,rpg,indie,platformer,comedy,X2d,exploration,fantasy,co_op
2013-08-27,4780,vampire,gothic,quick_time_events,action_adventure,character_action_game,spectacle_fighter,controller,hack_and_slash,singleplayer,fantasy
2015-09-01,40033,post_apocalyptic,driving,singleplayer,exploration,racing,atmospheric,story_rich,third_person_shooter,rpg,war
2013-04-30,541,mechs,arcade,controller,indie,space,sci_fi,fast_paced,simulation,singleplayer,great_soundtrack
2013-04-29,3322,abstract,simulation,indie,rogue_like,procedural_generation,difficult,singleplayer,realistic,horror,perma_death
2017-08-15,1419,interactive_fiction,based_on_a_novel,point_._click,choices_matter,medieval,visual_novel,indie,singleplayer,story_rich,casual
2013-04-29,380,side_scroller,indie,platformer,singleplayer,action,adventure,,,,
2013-05-13,83,match_3,casual,,,,,,,,
2013-03-18,88,lovecraftian,indie,puzzle,X2d,post_apocalyptic,top_down,horror,retro,story_rich,co_op
2013-07-24,2519,top_down_shooter,rogue_lite,rogue_like,indie,difficult,perma_death,singleplayer,sci_fi,top_down,pixel_graphics
2013-05-24,894,local_co_op,indie,racing,platformer,music,X2d,local_multiplayer,singleplayer,action,multiplayer
2015-03-15,11338,vr,controller,racing,simulation,arcade,driving,realistic,trackir,sports,singleplayer
2013-07-25,9808,isometric,kickstarter,crpg,crowdfunded,dystopian_,rpg,cyberpunk,turn_based,sci_fi,indie
2013-10-24,9091,controller,beat_em_up,anime,fighting,local_co_op,ninja,singleplayer,fantasy,local_multiplayer,great_soundtrack
2013-03-22,1010,surreal,action_adventure,indie,exploration,pixel_graphics,retro,singleplayer,puzzle,top_down,great_soundtrack
2015-03-25,419,choose_your_own_adventure,indie,casual,simulation,choices_matter,female_protagonist,singleplayer,adventure,survival,
2013-04-25,1299,interactive_fiction,based_on_a_novel,thriller,indie,casual,point_._click,narration,story_rich,singleplayer,horror
2013-05-17,245,metroidvania,side_scroller,indie,platformer,pixel_graphics,action,shooter,,,
2014-02-19,2528,metroidvania,side_scroller,arcade,X2.5d,remake,platformer,controller,ninja,beat_em_up,hack_and_slash
2013-05-09,1440,isometric,tower_defense,strategy,indie,casual,retro,X2d,singleplayer,difficult,pixel_graphics
2014-01-27,989,real_time_with_pause,strategy,rts,sci_fi,singleplayer,rpg,classic,time_travel,indie,story_rich
2013-06-05,886,card_game,tower_defense,tactical_rpg,strategy_rpg,strategy,indie,singleplayer,casual,fantasy,rpg
2017-06-02,4604,real_time_tactics,real_time,real_time_with_pause,strategy,world_war_ii,rts,military,war,historical,tanks
